issue,draw_date,week,numbers,numbers_sorted,numbers_sequence,sale_money,prize_pool_money,fix_pool_money,source
2020057,2020-12-23,星期三,03 10 13 16 24 30 31 37 41 44 46 47 50 52 56 60 61 68 72 80,03 10 13 16 24 30 31 37 41 44 46 47 50 52 56 60 61 68 72 80,50 72 41 68 52 44 24 03 47 56 46 80 30 13 61 16 10 31 60 37,15961954,9000808.65,,zhcw_jsonp
2020058,2020-12-24,星期四,01 04 07 13 14 16 21 23 25 33 37 39 40 51 56 61 68 70 71 74,01 04 07 13 14 16 21 23 25 33 37 39 40 51 56 61 68 70 71 74,14 37 40 01 23 68 61 71 25 51 21 13 16 39 04 74 70 07 33 56,16564764,10151886.55,,zhcw_jsonp
2020059,2020-12-25,星期五,04 12 14 16 17 21 22 23 27 30 38 41 44 47 48 57 60 62 64 69,04 12 14 16 17 21 22 23 27 30 38 41 44 47 48 57 60 62 64 69,12 38 27 48 60 22 14 30 44 47 17 21 04 69 57 64 23 62 16 41,19597900,11668932.3,,zhcw_jsonp
2020060,2020-12-26,星期六,01 04 12 15 18 41 45 47 48 52 53 58 59 62 64 65 66 73 74 79,01 04 12 15 18 41 45 47 48 52 53 58 59 62 64 65 66 73 74 79,73 04 48 41 01 47 62 65 15 58 53 74 79 12 64 59 18 52 45 66,17392058,13017371.55,,zhcw_jsonp
2020061,2020-12-27,星期日,10 12 13 19 23 24 28 30 35 39 40 43 45 46 50 59 62 67 71 79,10 12 13 19 23 24 28 30 35 39 40 43 45 46 50 59 62 67 71 79,71 35 79 10 19 39 28 67 46 43 23 62 45 13 12 24 30 59 40 50,16906722,14273128.65,,zhcw_jsonp
2020062,2020-12-28,星期一,01 02 06 07 08 10 27 33 34 40 42 45 46 51 56 58 60 62 70 76,01 02 06 07 08 10 27 33 34 40 42 45 46 51 56 58 60 62 70 76,51 46 10 40 60 34 45 33 76 42 70 07 62 06 08 02 27 56 01 58,18836996,15708604.35,,zhcw_jsonp
2020063,2020-12-29,星期二,02 04 13 15 27 29 31 37 42 43 47 50 51 54 56 60 61 62 75 77,02 04 13 15 27 29 31 37 42 43 47 50 51 54 56 60 61 62 75 77,50 43 42 60 54 47 37 56 27 04 62 29 75 31 02 61 51 15 13 77,17928074,17214529.5,,zhcw_jsonp
2020064,2020-12-30,星期三,01 03 07 08 12 27 30 32 33 39 42 48 49 52 57 62 65 70 73 79,01 03 07 08 12 27 30 32 33 39 42 48 49 52 57 62 65 70 73 79,27 30 33 42 52 03 70 62 49 07 08 39 73 32 12 48 01 79 65 57,17683024,18181196.45,,zhcw_jsonp
2020065,2020-12-31,星期四,07 08 09 21 34 35 39 40 42 44 51 55 58 63 67 68 71 72 75 79,07 08 09 21 34 35 39 40 42 44 51 55 58 63 67 68 71 72 75 79,68 58 79 63 75 55 09 35 21 08 67 34 39 42 07 71 51 44 40 72,19266784,19739531.1,,zhcw_jsonp
2021001,2021-01-01,星期五,09 12 16 18 33 36 40 41 46 48 51 53 54 55 59 61 62 63 68 75,09 12 16 18 33 36 40 41 46 48 51 53 54 55 59 61 62 63 68 75,33 41 63 62 48 16 36 09 53 18 54 55 59 46 51 61 12 68 40 75,22897112,21433226.05,,zhcw_jsonp
2021002,2021-01-02,星期六,06 10 11 13 14 28 30 36 39 43 44 47 48 59 67 69 71 73 75 79,06 10 11 13 14 28 30 36 39 43 44 47 48 59 67 69 71 73 75 79,14 44 11 69 30 28 13 10 75 59 79 39 67 36 47 73 48 06 43 71,20847282,22988675.7,,zhcw_jsonp
2021003,2021-01-03,星期日,07 11 13 14 16 17 20 23 27 30 31 33 34 37 43 53 55 62 66 69,07 11 13 14 16 17 20 23 27 30 31 33 34 37 43 53 55 62 66 69,33 43 17 53 62 23 27 66 07 37 55 16 30 69 13 11 31 34 20 14,20500668,24270655.15,,zhcw_jsonp
2021004,2021-01-04,星期一,03 08 11 12 13 14 16 22 23 27 33 37 46 48 51 52 53 63 75 80,03 08 11 12 13 14 16 22 23 27 33 37 46 48 51 52 53 63 75 80,16 53 23 75 33 46 27 80 03 11 12 22 14 37 48 51 63 52 08 13,21198050,19653711.6,,zhcw_jsonp
2021005,2021-01-05,星期二,03 09 14 15 17 19 23 27 28 30 33 35 36 54 57 58 63 65 69 72,03 09 14 15 17 19 23 27 28 30 33 35 36 54 57 58 63 65 69 72,15 14 27 33 23 58 03 72 09 28 69 63 65 30 17 19 54 57 35 36,21711334,21122076.8,,zhcw_jsonp
2021006,2021-01-06,星期三,05 07 10 14 16 17 19 25 32 34 35 38 40 43 51 53 54 57 73 77,05 07 10 14 16 17 19 25 32 34 35 38 40 43 51 53 54 57 73 77,40 32 38 14 07 35 10 51 17 25 34 16 05 19 57 54 43 73 77 53,24000702,12672701.35,,zhcw_jsonp
2021007,2021-01-07,星期四,05 07 10 11 14 16 21 22 25 35 40 46 49 52 54 64 66 68 69 70,05 07 10 11 14 16 21 22 25 35 40 46 49 52 54 64 66 68 69 70,11 10 25 52 69 46 07 16 40 54 35 05 70 66 21 14 22 64 49 68,23506638,14020829.55,,zhcw_jsonp
2021008,2021-01-08,星期五,04 05 08 09 13 19 20 21 24 28 40 48 50 57 63 65 66 69 70 75,04 05 08 09 13 19 20 21 24 28 40 48 50 57 63 65 66 69 70 75,70 57 69 66 09 24 28 04 63 21 50 13 65 75 20 05 40 08 48 19,29754102,15974267.8,,zhcw_jsonp
2021009,2021-01-09,星期六,02 03 13 16 25 28 35 37 41 45 46 48 49 50 52 61 62 65 70 76,02 03 13 16 25 28 35 37 41 45 46 48 49 50 52 61 62 65 70 76,46 25 50 28 76 48 03 61 62 02 16 35 70 45 65 49 13 37 52 41,26930652,18191352.6,,zhcw_jsonp
